Catalogue,Composition,Condition,Date,Mint_Mark,Other_Details,Province_Mint,Soverign_Issuer,Weight,wreck,image_url,type
Del. 940,Silver,G,1621.0,"Rosette (Obv), Cross (rev)",WEST//FRI,West Friesland,Estates General,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00230-003.jpg,Rijksdaalder
Dav. 4829,Silver,P Corroded,1650.0,,,Friesland,Unknown,17.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00016-003.jpg,Rijksdaalder
Dav. 4828,Silver,VG,1623.0,cross,,Gelderland,Estates General,26.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00047-001.jpg,Rijksdaalder
Del. 938,Silver,F Broken,1623.0,cross,2 piecesBroken,Gelderland,Unknown,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00050-003.jpg,Rijksdaalder
Del. 938,Silver,F Bent,1623.0,cross,2 piecesBroken and bent,Gelderland,Unknown,25.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00051-001.jpg,Rijksdaalder
Dav. 4831,Silver,aF,1620.0,Rose,As Del 939 but sword goes through inscription.Returned from TMAG to WAM on 15/12/2010.,Holland,Unknown,27.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00076-001.jpg,Rijksdaalder
Del. 939,Silver,P,1623.0,Rose,As Del 939 but sword goes through inscription,Holland,Unknown,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00082-001.jpg,1/2 Rijksdaalder
Dav. 4832,Silver,F,1620.0,Rosette,Returned from TMAG to WAM on 15/12/2010.,Overijssel,Estates General,28.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00103-001.jpg,Rijksdaalder
Del. 942,Silver,G,1650.0,Shield **,,Utrecht,Estates General,24.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00156-002.jpg,Rijksdaalder
,Silver,P,0.0,,,Zwolle - Imperial City,Unknown,18.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00172-003.jpg,Rijksdaalder
,Silver,P,0.0,,,Zwolle - Imperial City,Unknown,10.0,Batavia,http://museum.wa.gov.au/maritime-archaeology-db/sites/default/files/imagecache/numismatic-large/images-numismatics/BAT00173-003.jpg,Rijksdaalder
