	0
0	Estates General
1	Unknown
2	Friedrich Ulrich
3	Christian
4	Ferdinand II
5	Holy Roman Empire
6	August
7	Christian Johann Georg
8	Johann Casimir & Johann Ernst II
9	Johann Georg Duke of Saxony
10	Johann Georg & August of Naumburg
11	Heinrich XIII and Wolfgang George
12	Felipe II
13	Rudolph
14	-
15	Heinrich II
16	Gebhard VII, Johann-Georg I, Peter Ernst I
17	Johan III
18	Johann Georg
19	Johann Georg I Duke of Saxony and August of Nuremburg
20	Justus Hermann, Ferdinand II
21	Henry of Brederode
22	Rudolph II
23	Heinrich Julius
24	Philip Moritz, Catherine Belgica (Regent)
25	Paris Von Lodran
26	Mathias I
27	William the Silent
28	Peter-Ernst I, Christoph II, Johann-Hoyer III
29	Christian I
30	Christian II, Johann Georg, August
31	Joachim Ernst
32	Georg of Brunswick
33	Erich II
34	Julius Ernst
35	Wilhelm
36	Maurice Landgrave of H.C.
37	Volkmar Wolfgang
38	Christian IV
39	Frederik III
40	Johann Adolf
41	Carlos V
42	Gerard de Groesbeeck (Maximillian II)
43	Imperial City
44	Joachim Friedrich Administrator
45	Peter Ernst, Brunill, Gebhard VIII, Johann Georg IV
46	Fredrich Christoph
47	Volrat VI, Jobst II, Wolfgang III, Bruno III
48	Philip Ernst
49	Unidentified
50	Sons of Johann Gunther I
51	Christian D of S
52	Friedrich Wilhelm I Johann III
53	Friedrich Wilhelm I and Johann III
54	Wolfgang Georg
55	Enno III
56	
57	Mathias II
58	Christian IIII
59	Ferdinand I
60	Maximilian II
61	Mathias
62	Bruno II, Wilhelm of Arnstein, Johannn Georg IV of Artern
63	Johann Casimir & Johann Ernest Dukes
64	Johann Casper & Johann Ernest Dukes
65	Johannn Georg
66	Johann Georg & Julius Clive
67	Julius Herman Court of Holstein
68	Felipe III
69	Ernst III
70	Johann Friedrich
71	Salentin (of Isenburg)
72	Moritz
73	Friederik III
74	Volrat VI, Wolfgang III & Johann Georg II
75	Anton Gunter - Ferdinand II
76	Wolfgang Ludwig - Martin
77	Sons of Frederick William I
78	Johann III
79	Ferdinand
80	Ernst of Bavaria
81	Rudolph II and Netherlands
82	Mathias or Rudolph
83	Marchis - Brom P.
84	Eric II D of Br. C.
85	Wilhelm V
86	Julius
87	Christian Bishop of Halberstadt
88	August The Younger
89	Iohan Friederich
90	David C of M
91	Johann Albrecht III
92	Maximilian de Berghes (as archbishop)
93	Peter Ernst - Bruno
94	Felipe IV
95	Felipe
96	Felipe V
97	Carlos II
98	Carlos IV
99	Carlos
100	Fernando VII
101	Carlos III
102	Joseph Napoleon
103	?
104	Phillip?Spain
105	Rudoph II
106	Bishop Martinus
107	Mathew I
108	Archbishop John James
109	John, Georg and August
110	Christian, Johann, Georg, August
111	Wilhelm Duke Brunswick
112	Friedrich
113	Christian?and Johann Georg
114	Phillip IV
115	Arch Duke Leopold
116	Mathew
117	Wilhelm Duke?Brunswick
118	Philip Duke?Gottingen
119	Henry Julius
120	Georg
121	Bruno - Wilhelm
122	Felipe V or Carlos II
123	Julius Duke Brunswick and Luxemburg
124	Ferdinand Ii
125	Johann Adolph
126	Henry
127	George IV
128	Johann-Friedrich & Moritz
129	Matthias
130	Rudolph?H.R.E
131	Ferdinand III
132	Felipe VI
133	Six Brothers
134	Johann
135	William
136	Mathias?H.R.E.
137	Felipe IIII
138	Julius Duke Brunswick and Nuremberg
139	Marquis Joachim Ernest ?
140	Rudolph?
141	Maurice
142	Maximilian
143	Wolfgang
144	George III
